מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
5840,"שבת ז, א (ט ע""ב, 40)",אכל חצי,,,"שבי' לג ע""ד",,,
5850,"שבת ז, א (ט ע""ב, 47)",אמר רבי,,,"שבת ט ע""א (10, 56)",,,
5860,"שבת ז, ב (ט ע""ב, 55)",ויבא הביתה,"בראשית לט, יא",,,,,
5870,"שבת ז, ב (ט ע""ב, 55)",ויכל אלהים,"בראשית ב, ב",,,,,
5880,"שבת ז, ב (ט ע""ב, 56)",ששת ימים,"דברים טז, ח",,,,,
5890,"שבת ז, ב (ט ע""ב, 59)",אמר רבי,,"ס""ז 89",,,לראות הע' 54,
5900,"שבת ז, ב (ט ע""ב, 60)",אלה הדברים,"שמות לה, א",,,"שבת ע ע""א",,
5910,"שבת ז, ב (ט ע""ב, 63)",מן אתריה,,,"הש' ב""ר 2:583; ב""ר 3:800",,,
5920,"שבת ז, ב (ט ע""ב, 64)",לא מתמנעין,,,"פאה כ ע""ב",,,
5930,"שבת ז, ב (ט ע""ג, 5)",דתני רבי,,,"שבת י ע""א","שבת עג ע""ב",,
5940,"שבת ז, ב (ט ע""ג, 9)",תנא רבי,,,"שבת ט ע""א (17); נזיר נד ע""ג",,,
5950,"שבת ז, ב (ט ע""ג, 12)",אחת,"ויקרא ד, ב",,,,,
5960,"שבת ז, ב (ט ע""ג, 12)",הנה,"ויקרא ד, ב",,,,,
5970,"שבת ז, ב (ט ע""ג, 14)",לא תעשה,"שמות כ, י",,,,,
5980,"שבת ז, ב (ט ע""ג, 14)",לא תבערו,"שמות לה, ג",,,,,
5990,"שבת ז, ב (ט ע""ג, 17)",לא תעבדם,"שמות כ, ה",,"נזיר נד ע""ג; סנ' כה ע""ב",,,
6000,"שבת ז, ב (ט ע""ג, 17)",לא תשתחוה,"שמות כ, ה",,,,,
6010,"שבת ז, ב (ט ע""ג, 21)",לא תשתחוה,"שמות לד, יד",,,,,
6020,"שבת ז, ב (ט ע""ג, 21)",זובח לאלהים,"שמות כב, יט",,,,,
6030,"שבת ז, ב (ט ע""ג, 30)",זובח לאלהי',"שמות כב, יט",,,,,
6040,"שבת ז, ב (ט ע""ג, 33)",בכל מושבותיכם,"שמות לה, ג",,,,,
6050,"שבת ז, ב (ט ע""ג, 33)",ויהיו אלה,"במדבר לה, כט",,,,"צ""ל: והיו אלה",
6060,"שבת ז, ב (ט ע""ג, 38)",מניין המעלה,,"ספ' יא ע""ד; ת' מכות ה, ג (32:443)",,"מנ' נז ע""ב",,
6070,"שבת ז, ב (ט ע""ג, 40)",כי כל,"ויקרא ב, יא",,,,,
6080,"שבת ז, ב (ט ע""ג, 43)",המזבח אין,,"ספ' יב ע""א",,,,
8750,"שבת י, ה (יב ע""ג, 45)",כשהיה רבי,,,"פד""כ 200; ק""ר ח, ב (כט ע""א)",,,ז
8760,"שבת י, ו (יב ע""ג, 51)",תני אף,,,"שבת יב ע""ב (5)",,,
9080,"שבת יא, ג (יג ע""א, 47)",זרק חוץ,,"מ' שבת יא, ג",,,,
9090,"שבת יא, ה (יג ע""א, 62)",ספינה שבים,,"ת' שבת י, יד (40:44)",,"שבת ק ע""ב",,
9100,"שבת יא, ה (יג ע""ב, 6)",סלע שבים,,"ת' שבת ו, יב (35:43)",,"ער' סז ע""ב",,
9120,"שבת יא, ה (יג ע""ב, 18)",רבי יעקב,,,"ער' כו ע""ב; גטין מט ע""ג",,,
9130,"שבת יא, ה (יג ע""ב, 19)",רבי יצחק,,,"הש' מ""ק פא ע""ב (18)",,,
9140,"שבת יא, ו (יג ע""ב, 24)",את ה',"במדבר טו, ל",,,,,
9150,"שבת יא, ו (יג ע""ב, 26)",רבי אבהו,,,"ב""ק ה ע""ד",,"וש""נ",
9110,"שבת יא, ה (יג ע""ב, 18)",ואת רואה,,,"הש' מע""ש נד ע""ב (19); סנ' יט ע""ב (50)",,,
9160,"שבת יב, א (יג ע""ג, 1)",מה בניין,,,"שבת י ע""ד",,,
9170,"שבת יב, א (יג ע""ג, 2)",ולא לשעה,,,"שבת י ע""ג (24); שבת י ע""ד (8); שבת טו ע""א (29); ער' כב ע""ג (19)",,,
9180,"שבת יב, א (יג ע""ג, 17)",לווחים שבספינה,,"ת' שבת יג, טו (66:62)",,"שבת מז ע""א",,
9200,"שבת יב, א (יג ע""ג, 20)",תקועים חיבור,,"ת' כלים ב""מ ח, ד (13:587)",,,"צ""ל: קבועים",
9210,"שבת יב, א (יג ע""ג, 23)",רבי סימיי,,"ת' שבת יב, יד (52:55)",,"שבת מז ע""א",,
9220,"שבת יב, א (יג ע""ג, 25)",קני מנורה,,,"הש' דב""ר ג, א",,,
9250,"שבת יב, א (יג ע""ג, 28)",שמואל אומר,,,"ביצה ס ע""ג",,,
9260,"שבת יב, א (יג ע""ג, 30)",התירו סופו,,,"הש' חג' עט ע""ד (7); מ""ק פ ע""ג (38); מ""ק פא ע""ב (35)","ביצה יא ע""ב",,
9270,"שבת יב, א (יג ע""ג, 33)",הגורד הקודח,,"ת' שבת יא, ג (6:46)","פס' לג ע""ב",,"צ""ל: הגורר",
9280,"שבת יב, א (יג ע""ג, 39)",השובט והמקטקט,,"ת' שבת ח, ב (3:30)","שבת יג ע""ד (11)","שבת עה ע""ב",,
9290,"שבת יב, ב (יג ע""ג, 41)",מה חרישה,,,"שבת ט ע""ד",,,
9300,"שבת יב, ב (יג ע""ג, 43)",זרע קישואין,,"מ' שבת ט, ז",,,,
9310,"שבת יב, ב (יג ע""ג, 43)",תני חטים,,,"שבת יב ע""ב",,,
9440,"שבת יב, ג (יג ע""ד, 8)",מאחת,"ויקרא ד, ב",,,,,
9320,"שבת יב, ב (יג ע""ג, 45)",לתקן כל,,"מ' שבת יב, ב",,,,
9330,"שבת יב, ב (יג ע""ג, 45)",כמלא פי,,"מ' שבת יב, ב",,,,
5820,"שבת ז, א (ט ע""ב, 34)",כתב אות,,,"שבת יד ע""א",,,
8770,"שבת י, ז (יב ע""ג, 56)",רבי אבהו,,,"פס' לג ע""ב",,,
8780,"שבת י, ז (יב ע""ג, 60)",ואתיא כההיא,,,"ב""ר 161; ב""ר ח (67); מת""ה כה, יא (214); ק""ר ז, ב (יח ע""ג); אדר""נ ד נו""א (19); תנ""ב וירא ד (86)","שבת צה ע""א",,ז
8790,"שבת י, ז (יב ע""ד, 2)",העושה פסיקיא,,"ת' כלים ב""ב ד, יג (28:594)",,,,
8800,"שבת י, ז (יב ע""ד, 3)",לתלותה בצואר,,"ת' כלים ב""ב ד, יד (31:594)",,,,
8810,"שבת י, ז (יב ע""ד, 8)",אילין אינין,,,"כל' לא ע""א; הש' סוכה נה ע""ג (31); ביצה סג ע""ב (10); יב' י ע""ג (33, 48)",,,
8820,"שבת י, ז (יב ע""ד, 8)",עציץ נקוב מקדש,,"מ' כל' לא ע""א",,,,
8830,"שבת י, ז (יב ע""ד, 9)",עציץ נקוב אינו,,"מ' עוק' ב, י",,,,
8840,"שבת י, ז (יב ע""ד, 10)",התולש מעציץ,,"מ' שבת י, ז",,,,
8850,"שבת י, ז (יב ע""ד, 11)",רבי יוסה,,,"מע' נא ע""ד",,,
8860,"שבת י, ז (יב ע""ד, 12)",וכי יפול,"ויקרא יא, לז",,,,,
8870,"שבת יא, א (יב ע""ד, 48)",בין על דעתיה,,,"הש' שבת ב ע""ד (35)",,,
8880,"שבת יא, א (יב ע""ד, 52)",דאמר רבי,,,"גט' מט ע""ד",,,
8900,"שבת יא, א (יב ע""ד, 55)",לא תעשה,"שמות כ, י",,,,,
8910,"שבת יא, א (יב ע""ד, 56)",ונתן בידה,"דברים כד, א",,,,,
8920,"שבת יא, א (יב ע""ד, 57)",שמואל אמר,,,"הש' ער' כו ע""ב (43)",,,
8930,"שבת יא, א (יב ע""ד, 60)",כיצד,,"מ' שבת יא, ב",,,,
8940,"שבת יא, א (יג ע""א, 9)",על דעתיה,,,"הש' שבת י ע""ג (13)",,,
8960,"שבת יא, ב (יג ע""א, 18)",שנים שעשו,,"מ' שבת יא, ב",,,,
8970,"שבת יא, ב (יג ע""א, 20)",תני רבי,,,"פס' לו ע""א (60)",,,
8980,"שבת יא, ב (יג ע""א, 21)","א""ר יוחנן",,,"ער' יט ע""א; ער' יט ע""ג; ער' כד ע""ב; ער' כה ע""א",,,
8990,"שבת יא, ב (יג ע""א, 25)",אם בגבוהין,,,"שבת ב ע""ד",,,
9000,"שבת יא, ב (יג ע""א, 28)",דאמר רב,,,"שבת ב ע""ג (64); שבת ג ע""א (2)",,,
8950,"שבת יא, ב (יג ע""א, 13)",רב אמר,,,"הש' שבת יג ע""א (31, 33, 35, 37)",,,
9020,"שבת יא, ב (יג ע""א, 32)",המיפיס מורסא,,"מ' עד' ב, ה",,,,
9030,"שבת יא, ב (יג ע""א, 33)",הצד נחש,,"מ' עד' ב, ה",,,,
9040,"שבת יא, ב (יג ע""א, 35)",ועל לפסים,,"מ' עד' ב, ה",,,,
4820,"שבת ו, ד (ח ע""ב, 44)",עגיל,"במדבר לא, נ",,,,,
9340,"שבת יב, ג (יג ע""ג, 50)",אמר רבי,,,"שבת יג ע""ג (55)",,,
9350,"שבת יב, ג (יג ע""ג, 50)",והקמות את,"שמות כו, ל",,,,,
9360,"שבת יב, ג (יג ע""ג, 52)",אילין דרבי,,,"הור' ג, ה (מח ע""ג, 40); אס""ר, ד, א (ח ע""א, 27)",,,
5330,"שבת ו, ט (ח ע""ג, 45)",ואני בבואי,"בראשית מח, ז",,,,,
5340,"שבת ו, ט (ח ע""ג, 45)",יוסף איננו,"בראשית מב, לו",,,,,
5350,"שבת ו, ט (ח ע""ג, 46)",ואזניך תשמענה,"ישעיה ל, כא",,,,,
5360,"שבת ו, ט (ח ע""ג, 47)",רבי לעזר,,,"ב""ר 81; ק""ר ה, ח (טו ע""ג); הש' ו""ר תקה","בר' סב ע""ב",,ז
5370,"שבת ו, ט (ח ע""ג, 50)",ואתן אדם,"ישעיה מג, ד",,,,,
5380,"שבת ו, ט (ח ע""ג, 52)",ואתן אדם,"ישעיה מג, ד",,,,,
5390,"שבת ו, ט (ח ע""ג, 53)",אתא כלב,,,"הש' יומא מה ע""ב (14)",,,
5400,"שבת ו, ט (ח ע""ג, 54)",ואתן אדם,"ישעיה מג, ד",,,,,
5410,"שבת ו, ט (ח ע""ג, 56)",אם בגפו,"שמות כא, ג",,,,,
5420,"שבת ו, ט (ח ע""ג, 59)",ושמואל מת,"שמ""א כח, ג",,,,,
6490,"שבת ז, ב (ט ע""ד, 53)",נשך רבץ,,"מדר""י 12:289",,,,
6670,"שבת ז, ב (י ע""ב, 9)",רבי יונה,,,"ביצה ס ע""ד",,,
6680,"שבת ז, ב (י ע""ב, 14)",בורר ואוכל,,"ת' שבת טז, ט (20:77)",,,,
6690,"שבת ז, ב (י ע""ב, 23)",בורר כדרכו,,"מ' ביצה א, ח",,,,
6700,"שבת ז, ב (י ע""ב, 24)",של בית,,"ת' ביצה ב, טז (62:291)",,,,
6710,"שבת ז, ב (י ע""ב, 27)",כל מלאכה,"שמות יב, טז",,,,,
6720,"שבת ז, ב (י ע""ב, 28)",ושמרתם את,"שמות יב, יז",,,,,
6730,"שבת ז, ב (י ע""ב, 29)",אך אשר,"שמות יב, טז",,,,,
6740,"שבת ז, ב (י ע""ב, 30)",ושמרתם את,"שמות יב, יז",,,,,
6760,"שבת ז, ב (י ע""ב, 31)",רבי זעירא,,,"שבת יז ע""ג; ביצה ס ע""ד","שבת קלח ע""א",,
6770,"שבת ז, ב (י ע""ב, 36)",בורר כדרכו,,"מ' ביצה א, ח",,,,
6780,"שבת ז, ב (י ע""ב, 37)",אף נותנין,,"מ' שבת כ, א",,,"צ""ל: אבל נותנין",
6790,"שבת ז, ב (י ע""ב, 44)",חייב על,,"מ' מנ' ה, ב",,,,
6800,"שבת ז, ב (י ע""ב, 47)",אלא בגין,,,"הש' שבת י ע""ג (51)",,,
9050,"שבת יא, ג (יג ע""א, 39)",את רואה,,,"ער' כו ע""ב",,,
6810,"שבת ז, ב (י ע""ב, 50)",בישל בחמי,,,"הש' נד' לט ע""ג","הש' שבת מ ע""ב; פס' מא ע""א",,
6820,"שבת ז, ב (י ע""ב, 53)",אל תאכלו,"שמות יב, ט",,,,,
6830,"שבת ז, ב (י ע""ב, 54)",כי אם,"שמות יב, ט",,,,,
6860,"שבת ז, ב (י ע""ב, 55)",אם לבשל,,"מ' שבת ח, ה",,,"צ""ל: אם לתבל (מ' שבת ט, ה)",
6870,"שבת ז, ב (י ע""ב, 56)",לארוג,,"הש' מ' שבת יג, ד",,,,
6880,"שבת ז, ב (י ע""ב, 56)",לטוות,,"הש' מ' שבת יג, ד",,,,
6890,"שבת ז, ב (י ע""ב, 58)",שתי אותיות,,"הש' מ' שבת יב, ד",,,,
6900,"שבת ז, ב (י ע""ב, 58)",השוחט את,,"מ' בכ' ג, ג",,,,
6910,"שבת ז, ב (י ע""ב, 63)",התולש כנף,,"ת' שבת ט, כ (56:40)",,"שבת עד ע""ב; בכ' כה ע""א",,
6920,"שבת ז, ב (י ע""ג, 4)",הדא איתת',,"הש' ת' שבת ט, יג (42:39)",,,,
6930,"שבת ז, ב (י ע""ג, 7)",מה צביעה,,"הש' ת' שבת ח, כג (52:34)",,,,
7070,"שבת ז, ב (י ע""ג, 37)",הכן והכן,,,"הש' תר' מה ע""ג (31); מ""ק פג ע""א (48); סוטה כג ע""ג (37)",,,
7550,"שבת ח, ב (יא ע""ב, 21)",הוציא כלי,,"ת' שבת ח, לא (67:35)",,,"צ""ל: הוציא שני",
7560,"שבת ח, ב (יא ע""ב, 23)",הוציא שתי,,"ת' שבת ט, א (1:36)",,"שבת צ ע""ב",,
7570,"שבת ח, ב (יא ע""ב, 24)",זיפי חזיר,,"ת' שבת ט, ב (2:36)",,,,
4750,"שבת ו, ד (ח ע""ב, 39)",וכתתו חרבותם,"ישעיה ב, ד",,,,,
4760,"שבת ו, ד (ח ע""ב, 40)",וחניתותיהם למזמרות,"ישעיה ב, ד",,,,,
4770,"שבת ו, ד (ח ע""ב, 42)",ונקרב את,"במדבר לא, נ",,,,,
4800,"שבת ו, ד (ח ע""ב, 44)",והצמידים על,"בראשית כד, כב",,,,,
4830,"שבת ו, ד (ח ע""ב, 45)",ועגילים על,"יחזקאל טז, יב",,,,,
4850,"שבת ו, ד (ח ע""ב, 46)",ביום ההוא,"ישעיה ג, יח",,,,,
4860,"שבת ו, ד (ח ע""ב, 47)",וברגליהם תעכסנה,"ישעיה ג, טז",,,,,
4900,"שבת ו, ד (ח ע""ב, 48)",ויקח את,"שופטים ח, כא",,,,,
4780,"שבת ו, ד (ח ע""ב, 43)",אצעדה,"במדבר לא, נ",,,,,
4790,"שבת ו, ד (ח ע""ב, 43)",צמיד,"במדבר לא, נ",,,,,
4810,"שבת ו, ד (ח ע""ב, 44)",טבעת,"במדבר לא, נ",,,,,
4840,"שבת ו, ד (ח ע""ב, 45)",וכומז,"במדבר לא, נ",,,"שבת סד ע""א",,
4870,"שבת ו, ד (ח ע""ב, 47)",השביסים,"ישעיה ג, יח",,,,,
4890,"שבת ו, ד (ח ע""ב, 48)",הסהרוני',"ישעיה ג, יח",,,,,
4910,"שבת ו, ד (ח ע""ב, 49)",הנטיפות,"ישעיה ג, יט",,,,,
4920,"שבת ו, ד (ח ע""ב, 49)",השירות,"ישעיה ג, יט",,,,,
4930,"שבת ו, ד (ח ע""ב, 49)",והרעלות,"ישעיה ג, יט",,,,,
4940,"שבת ו, ד (ח ע""ב, 49)",הפארי',"ישעיה ג, כ",,,,,
4950,"שבת ו, ד (ח ע""ב, 50)",פארכם על,"יחזקאל כד, כג",,,,,
4960,"שבת ו, ד (ח ע""ב, 50)",הצעדות,"ישעיה ג, כ",,,,,
4970,"שבת ו, ד (ח ע""ב, 50)",הקישורים,"ישעיה ג, כ",,,,,
4980,"שבת ו, ד (ח ע""ב, 51)",ובתי הנפש,"ישעיה ג, כ",,,,,
4990,"שבת ו, ד (ח ע""ב, 51)",והלחשים,"ישעיה ג, כ",,,,,
5000,"שבת ו, ד (ח ע""ב, 52)",הטבעות,"ישעיה ג, כא",,,,,
5010,"שבת ו, ד (ח ע""ב, 52)",ניזמי האף,"ישעיה ג, כא",,,,,
5020,"שבת ו, ד (ח ע""ב, 53)",המחלצות,"ישעיה ג, כב",,,,,
5030,"שבת ו, ד (ח ע""ב, 53)",המעטפות,"ישעיה ג, כב",,,,,
5040,"שבת ו, ד (ח ע""ב, 54)",המטפחות,"ישעיה ג, כב",,,,,
5050,"שבת ו, ד (ח ע""ב, 54)",והחריטין,"ישעיה ג, כב",,,,,
5060,"שבת ו, ד (ח ע""ב, 55)",ויקח מידק,"שמות לב, ד",,,,"צ""ל: ויקח מידם",
5070,"שבת ו, ד (ח ע""ב, 55)",הגיליונים,"ישעיה ג, כג",,,,,
5080,"שבת ו, ד (ח ע""ב, 56)",הסדינים,"ישעיה ג, כג",,,,,
5090,"שבת ו, ד (ח ע""ב, 56)",הצניפות,"ישעיה ג, כג",,,,,
5100,"שבת ו, ד (ח ע""ב, 56)",ואומר ישימו,"זכריה ג, ה",,,,,
5110,"שבת ו, ד (ח ע""ב, 57)",והיתה עטרת,"ישעיה סב, ג",,,,,
5120,"שבת ו, ד (ח ע""ב, 58)",הרדידים,"ישעיה ג, כג",,,,,
5130,"שבת ו, ד (ח ע""ב, 58)",נשאו את,"שה""ש ה, ז",,,,,
5140,"שבת ו, ה (ח ע""ב, 61)",הבנות יוצאות,,"מ' שבת ו, ו","שבת ח ע""ג",,,
5150,"שבת ו, ה (ח ע""ג, 3)",על גבי,,,"מע""ש נג ע""ב; שבת יד ע""ג",,,
5160,"שבת ו, ה (ח ע""ג, 4)",כר' יוסי,,"הש' מ' שבת יז, ח",,,,
5170,"שבת ו, ה (ח ע""ג, 10)",שמעת טעם,,,"הש' ב""ק ד ע""ג; שבו' לג ע""ג",,"פד""כ שובה, בובר קסג ע""א",
5180,"שבת ו, ו (ח ע""ג, 19)",הבנות יוצאות,,"מ' שבת ו, ו","שבת ח ע""ב",,,
5190,"שבת ו, ח (ח ע""ג, 26)",סנדל,,"הש' ת' יב' יב, י (43:43)",,,,
5200,"שבת ו, ח (ח ע""ג, 28)",סמוכות שלו,,"מ' שבת ו, ח",,,,
5210,"שבת ו, ט (ח ע""ג, 32)",בקישרי פואה,,,"הש' שבת ח ע""ב (15)","שבת סו ע""ב",,
5220,"שבת ו, ט (ח ע""ג, 34)",יוצא הוא,,"ת' שבת ה, ז (17:21)",,,,
5230,"שבת ו, ט (ח ע""ג, 36)",טב לשינה,,,,"שבת סז ע""א",,
5240,"שבת ו, ט (ח ע""ג, 39)",דרגי דרגיבת,,"ת' שבת ז, ב (2:25)",,,,
5250,"שבת ו, ט (ח ע""ג, 39)",וראש דגון,"שמ""א ה, ד",,,,,
5260,"שבת ו, ט (ח ע""ג, 40)",דונו דני,,"ת' שבת ז, ג (3:25)",,"שבת סז ע""ב",,
5270,"שבת ו, ט (ח ע""ג, 41)",ואמרו חי,"עמוס ח, יד",,,,,
5280,"שבת ו, ט (ח ע""ג, 41)",לאו לאו,,"ת' שבת ז, י (14:26)",,,,
5290,"שבת ו, ט (ח ע""ג, 42)",ויאמרו לאל,"איוב כא, יד",,,,,
5300,"שבת ו, ט (ח ע""ג, 42)",עמד עצם,,"ת' שבת ז, כא (38:28)",,"שבת סז ע""א",,
5310,"שבת ו, ט (ח ע""ג, 43)",תני ר',,,"ב""ר 1039",,,
5320,"שבת ו, ט (ח ע""ג, 44)",לא תנחשו,"ויקרא יט, כו",,,,,
8240,"שבת ט, ג (יב ע""א, 15)",לפיכך אם,,"הש' ת' מק' ו, ו (10:658)",,,שורה,
8250,"שבת ט, ג (יב ע""א, 25)",וקדשתם היום,"שמות יט, י",,,,,
8260,"שבת ט, ג (יב ע""א, 26)",אמר רבי,,,"הש' יומא מה ע""ג (9)","שבת פו ע""ב",,
8270,"שבת ט, ג (יב ע""א, 28)",זאת תורת,"ויקרא טו, לב",,,,,
8280,"שבת ט, ג (יב ע""א, 29)",אנן תנינן,,,"שבת יז ע""א; ב""ר 962","שבת קלד ע""ב",,
8290,"שבת ט, ג (יב ע""א, 30)",מרחיצין את,,"מ' שבת יט, ג",,,,
8300,"שבת ט, ג (יב ע""א, 32)",לעולם אין,,"הש' ת' שבת טו, ד (9:69)",,,,
8310,"שבת ט, ג (יב ע""א, 33)",אמר רבי,,,"הש' יב' י ע""א (61); כת' לד ע""ג (50)",,,
8320,"שבת ט, ג (יב ע""א, 34)",ולא עוד,,"ת' שבת טו, ד (9:69)",,,,
8330,"שבת ט, ג (יב ע""א, 37)",ויהי ביום,"בראשית לד, כה",,,,,
8340,"שבת ט, ג (יב ע""א, 42)",מחמם הוא,,"ת' שבת ג, ז (18:13)",,"שבת מ ע""ב",,
8350,"שבת ט, ג (יב ע""א, 44)",בראשונה היו,,,"יומא מג ע""ד","יומא סז ע""א",,
8360,"שבת ט, ג (יב ע""א, 47)",לכו נא,"ישעיה א, יח",,,,,
8370,"שבת ט, ג (יב ע""א, 48)",אם יהיו,"ישעיה א, יח",,,"הש' שבת פט ע""ב",,
8380,"שבת ט, ג (יב ע""א, 49)",כשלג ילבינו,"ישעיה א, יח",,,,,
8390,"שבת ט, ג (יב ע""א, 49)",כצמר יהיו,"ישעיה א, יח",,,,,
8400,"שבת ט, ג (יב ע""א, 50)",אם יהיו,"ישעיה א, יח",,,,,
8420,"שבת ט, ג (יב ע""א, 50)",כשלג ילבינו,"ישעיה א, יח",,,,,
8410,"שבת ט, ג (יב ע""א, 50)",כשני אבות,,,"הש' בר' ב ע""ג",,,
8440,"שבת ט, ג (יב ע""א, 51)",אם יהיו,"ישעיה א, יח",,,,,
8450,"שבת ט, ג (יב ע""א, 51)",ואם יאדימו,"ישעיה א, יח",,,,,
8430,"שבת ט, ג (יב ע""א, 50)",כצמר יהיו,"ישעיה א, יח",,,,,
8460,"שבת ט, ג (יב ע""א, 52)",אם יהיו,"ישעיה א, יח",,,,,
8470,"שבת ט, ג (יב ע""א, 53)",כצמר יהיו,"ישעיה א, יח",,,,,
8480,"שבת ט, ג (יב ע""א, 54)",כשלג ילבינו,"ישעיה א, יח",,,,,
8490,"שבת ט, ג (יב ע""א, 54)",כצמר יהיו,"ישעיה א, יח",,,,,
8500,"שבת ט, ד (יב ע""א, 55)",כהדא דתני,,,"מע""ש נג ע""א; יומא מד ע""ד; תע' סד ע""ג",,תענית דף עמוד,
8510,"שבת ט, ד (יב ע""א, 59)",ולא יחללו,"ויקרא כב, טו","ספ' צב ע""א",,"נדה לב ע""א",ספ' דף עמוד,
4200,"שבת ו, א (ז ע""ד, 20)",כל המחובר,,,"שבת ח ע""ב","שבת נח ע""א",,
4210,"שבת ו, א (ז ע""ד, 20)",יוצא הוא,,"ת' שבת ב, ז (17:21)",,,,
4220,"שבת ו, א (ז ע""ד, 21)",בין אילו,,"ת' שבת ב, ז (18:21)",,,,
4230,"שבת ו, א (ז ע""ד, 31)",רבי שמעון,,"הש' ת' שבת ד, ז (22:18)",,"שבת נז ע""ב",,
4240,"שבת ו, א (ז ע""ד, 32)",דבר שהוא,,"הש' מ' שבת ו, ה",,,,
4250,"שבת ו, א (ז ע""ד, 35)",תני רבי,,,"ביצה ס ע""ד",,,
4530,"שבת ו, ב (ח ע""א, 52)",אפילו כן,,,"הש' מ""ק פא ע""א (10)",,,
4540,"שבת ו, ב (ח ע""א, 54)",או בשל,,"מ' יב' יב, ב",,,,
4560,"שבת ו, ב (ח ע""א, 61)",כשהוא נועל,,,"ד""א פ""י",,"ת' ד""א פרק הנכנס הל' א",
4570,"שבת ו, ב (ח ע""ב, 1)",אין בבלייא,,,"הש' שבת ז ע""ג (10)",,,
4075,"שבת ה, ד (ז ע""ג, 10)",אין בבלייה,,,"הש' שבת ח ע""ב (1)",,,
4580,"שבת ו, ב (ח ע""ב, 2)",יוצאין בתפילין,,"ת' שבת א, יא (24:3)",,"שבת יב ע""א",,
4590,"שבת ו, ב (ח ע""ב, 11)",והמניכא די,"דניאל ה, טז",,,,,
4600,"שבת ו, ב (ח ע""ב, 11)",כל המחובר,,,"שבת ז ע""ד",,,
4610,"שבת ו, ב (ח ע""ב, 12)",רבי יוסי,,,"ער' כו ע""ג",,,
4620,"שבת ו, ב (ח ע""ב, 15)",הדא פואה,,,"הש' שבת ח ע""ג (32)",,,
4630,"שבת ו, ב (ח ע""ב, 20)",ה' מה,"תהלים ג, ב",,,,,
4640,"שבת ו, ב (ח ע""ב, 20)",יושב בסתר,"תהלים צא, א",,,,,
4650,"שבת ו, ב (ח ע""ב, 21)",כי אתה,"תהלים צא, ט",,,,,
4660,"שבת ו, ג (ח ע""ב, 21)",לא יצא,,,"שבת ג ע""ב","שבת יא ע""ב",,
4670,"שבת ו, ג (ח ע""ב, 25)",ואם יצאת,,"מ' שבת ו, ג",,,,
4680,"שבת ו, ג (ח ע""ב, 27)",וחכמים פוטרין,,"מ' שבת ו, ג",,,,
4690,"שבת ו, ג (ח ע""ב, 30)",טבעת של,,"מ' כלים יג, ו",,"שבת נט ע""ב",,
4700,"שבת ו, ג (ח ע""ב, 31)",רבי נחמיה,,"ת' כלים ב""מ ג, יג (37:581)",,,,
4710,"שבת ו, ד (ח ע""ב, 36)",וחמושים עלו,"שמות יג, יח",,,,,
4720,"שבת ו, ד (ח ע""ב, 36)",מלמד שהיו,,"מדר""י 41","פד""כ 186; ש""ר כ, יט (לט ע""ד)",,,ז
4730,"שבת ו, ד (ח ע""ב, 37)",מאימתי תורמין,,"ת' תר' ג, יא (42:118)",,,,
4740,"שבת ו, ד (ח ע""ב, 39)",חגור חרבך,"תהלים מה, ד",,,,,
9370,"שבת יב, ג (יג ע""ג, 55)",אמר לון,,,"שבת יג ע""ג (50)",,,
9380,"שבת יב, ג (יג ע""ג, 55)",והקמות את,"שמות כו, ל",,,,,
9390,"שבת יב, ג (יג ע""ג, 63)",יקרה היא,"משלי ג, טו",,,,,
9400,"שבת יב, ג (יג ע""ד, 1)",וגד מגדיאל,,"ספ' טז ע""א",,,,
9410,"שבת יב, ג (יג ע""ד, 2)",בשם רבי,,"ספ' טז ע""א",,"שבת קג ע""ב",,
9430,"שבת יב, ג (יג ע""ד, 7)",יכול עד,,"ספ' טז ע""ב",,,,
9420,"שבת יב, ג (יג ע""ד, 3)",אשכחת אמר,,,"הש' פס' לו ע""ב (1)",,"וש""נ",
9190,"שבת יב, א (יג ע""ג, 18)",ויד הסכין,,"הש' ת' מנ' ט, כח (1:527)",,,,
9450,"שבת יב, ג (יג ע""ד, 10)",ועשה אחת,"ויקרא ד, ב",,,,,
9460,"שבת יב, ג (יג ע""ד, 11)",השובט והמקטקט,,"ת' שבת ח, ב (3:30)","שבת יג ע""ג (39)",,,
9470,"שבת יב, ד (יג ע""ד, 12)",כתב בדיו,,"ת' שבת יא, ח (31:48)",,,,
9480,"שבת יב, ד (יג ע""ד, 13)",רבי יעקב,,,"שבת יד ע""א","שבת קד ע""ב",,
9490,"שבת יב, ד (יג ע""ד, 15)",אם אינן,,"מ' שבת יב, ד",,,,
9500,"שבת יב, ד (יג ע""ד, 16)",עדים שאינן,,,"גטין מד ע""ב","גטין יט ע""א",,
9510,"שבת יב, ד (יג ע""ד, 21)",הקורע על,,"ת' שבת יא, ח (27:47)",,,,
9520,"שבת יב, ד (יג ע""ד, 22)",והלא בן,,"ת' שבת יא, טו (46:49)",,"שבת קד ע""ב",,
9530,"שבת יב, ד (יג ע""ד, 23)",וכתב,"דברים כד, א",,,,,
9540,"שבת יב, ד (יג ע""ד, 26)",וכתב,"דברים כד, א",,,,,
9550,"שבת יב, ד (יג ע""ד, 27)",וכתב,"דברים כד, א",,,,,
