Shinan Distribution,Vilna Distribution 
1:1,1:1
1:2,1:2
1:3,1:3
1:4,1:4
1:5,1:5
1:6,1:6
1:7,1:7
1:8,1:8
1:9,1:9
1:10,1:10
1:11,1:11
1:12,1:12
1:13,1:13
1:14,1:14
1:15,1:15
1:16,1:16
1:17,1:17
1:18,1:18
2:1,2:1
2:2,2:2
2:3,2:3
2:4,2:4
2:5,2:4
2:6,2:5
2:7,2:6
2:8,2:7
2:9,2:8
2:10,2:8
2:11,2:8
2:12,2:8
2:13,2:9
2:14,2:9
2:15,2:10
2:16,2:11
2:17,2:12
2:18,2:13
2:19,2:14
2:20,2:15
2:21,2:16
3:1,3:1
3:2,3:2
3:3,3:2
3:4,3:3
3:5,3:4
3:6,3:5
3:7,3:6
3:8,3:7
3:9,3:7
3:10,3:8
3:11,3:9
3:12,3:9
3:13,3:10
3:14,3:10
3:15,3:11
3:16,3:12
3:17,3:13
3:18,3:14
3:19,3:15
3:20,3:16
3:21,3:17
3:22,3:17
3:23,3:18
4:1,4:1
4:2,4:2
4:3,4:3
4:4,4:4
4:5,4:4
4:6,4:5
4:7,4:5
4:8,4:6
4:9,4:7
4:10,4:8
4:11,4:9
4:12,4:10
4:13,4:11
4:14,4:11
4:15,4:12
4:16,4:13
4:17,4:13
4:18,4:14
4:19,4:15
4:20,4:15
4:21,4:16
4:22,4:17
4:23,4:18
4:24,4:19
4:25,4:20
4:26,4:20
4:27,4:20
4:28,4:21
4:29,4:22
5:1,5:1
5:2,5:2
5:3,5:2
5:4,5:3
5:5,5:4
5:6,5:4
5:7,5:4
5:8,5:5
5:9,5:6
5:10,5:7
5:11,5:8
5:12,5:9
5:13,5:10
5:14,5:11
5:15,5:12
5:16,5:13
5:17,5:14
5:18,5:15
5:19,5:16
5:20,5:17
5:21,5:18
5:22,5:19
5:23,5:20
5:24,5:21
5:25,5:22
5:26,5:23
6:1,6:1
6:2,6:2
6:3,6:3
6:4,6:4
6:5,6:5
6:6,6:6
6:7,6:7
6:8,6:8
6:9,6:9
6:10,6:10
6:11,6:11
