Reference,Ref in Sefaria,Pages in K&E,Hebrew in Sefaria,Other English in Sefaria,Text Placed
Genesis 1,yes,"28, 122",yes,yes,no
Genesis 1:1,yes,"55, 221, 272",yes,yes,no
Genesis 1:2,yes,137,yes,yes,no
Genesis 1:5,yes,55,yes,yes,no
Genesis 1:10,yes,101,yes,yes,no
Genesis 1:11,yes,"55, 258, 357",yes,yes,no
Genesis 1:11-12,yes,219,yes,yes,no
Genesis 1:12,yes,"258, 357",yes,yes,no
Genesis 1:14,yes,55,yes,yes,no
Genesis 1:15,yes,358,yes,yes,no
Genesis 1:16,yes,101,yes,yes,no
Genesis 1:18,yes,101,yes,yes,no
Genesis 1:20,yes,"55, 93, 221, 321",yes,yes,no
Genesis 1:24,yes,"131, 137, 355",yes,yes,no
Genesis 1:26,yes,"48, 56, 68-70, 73, 75, 81, 93, 94, 97-100, 180, 191, 195-6, 252, 269, 273",yes,yes,no
Genesis 1:26-28,yes,"44, 97",yes,yes,no
Genesis 1:27,yes,"45, 48-50, 78-9, 192, 194-6",yes,yes,no
Genesis 1,yes,"91, 95, 108, 183, 303",yes,yes,no
Genesis 1,yes,"79, 81, 194, 195",yes,yes,no
Genesis 1:28,yes,"49, 93, 97-8, 99",yes,yes,no
Genesis 1:29,yes,"98, 141, 158",yes,yes,no
Genesis 1:30,yes,356,yes,yes,no
Genesis 1:31,yes,"17, 19, 72, 95, 171, 253-4, 269, 348",yes,yes,no
Genesis 2,yes,"43, 122, 151",yes,yes,no
Genesis 2:1,yes,"121, 283, 286",yes,yes,no
Genesis 2:4,yes,"120, 180, 278, 348",yes,yes,no
Genesis 2:5,yes,"121, 324, 330",yes,yes,no
Genesis 2:6,yes,"79, 200",yes,yes,no
Genesis 2:7,yes,"44, 55, 56, 63, 73, 75, 93, 131, 137, 138, 182, 198, 205, 228, 308, 355",yes,yes,no
Genesis 2,yes,"43, 80, 81, 167, 272",yes,yes,no
Genesis 2:15,yes,167,yes,yes,no
Genesis 2:18,yes,"64, 80, 115",yes,yes,no
Genesis 2:19,yes,93,yes,yes,no
Genesis 2:19-20,yes,"64, 318",yes,yes,no
Genesis 2:21,yes,"64, 79",yes,yes,no
Genesis 2:22,yes,"79, 80, 81",yes,yes,no
Genesis 3,yes,151,yes,yes,no
Genesis 3:1,yes,192,yes,yes,no
Genesis 3:3,yes,357,yes,yes,no
Genesis 3:5,yes,99,yes,yes,no
Genesis 3:8,yes,"90, 248",yes,yes,no
Genesis 3:14,yes,84,yes,yes,no
Genesis 3:17,yes,84,yes,yes,no
Genesis 3:19,yes,"91, 92",yes,yes,no
Genesis 3:22,yes,108,yes,yes,no
Genesis 4:4,yes,158,yes,yes,no
Genesis 4:10,yes,137,yes,yes,no
Genesis 4:12,yes,193,yes,yes,no
Genesis 4:15,yes,156,yes,yes,no
Genesis 4:24,yes,284,yes,yes,no
Genesis 5:1,yes,"70, 81, 103, 104, 120",yes,yes,no
Genesis 5:1-3,yes,44,yes,yes,no
